hour,human_messages,bot_messages,bot_turns,turns_per_100_human_messages
0,669,74,52,7.77
1,1125,92,67,5.96
2,770,51,45,5.84
3,398,25,19,4.77
4,306,23,14,4.58
5,70,2,1,1.43
6,13,1,1,7.69
7,23,4,3,13.04
8,117,51,32,27.35
9,371,97,67,18.06
10,549,171,112,20.4
11,868,106,82,9.45
12,796,174,123,15.45
13,922,113,80,8.68
14,863,153,100,11.59
15,1039,165,127,12.22
16,832,158,118,14.18
17,896,194,128,14.29
18,619,139,91,14.7
19,687,97,72,10.48
20,587,185,122,20.78
21,486,109,80,16.46
22,701,74,57,8.13
23,582,75,54,9.28
