recipient_id,recipient_name,reply_turns,share
u_32xaVUrIZByD20lrxupPSw,気ぎよし死に花,51,0.094444
u_KWuU1J0-TRNAF6p9G-XzlQ,欧尼酱（失眠中,48,0.088889
u_m-B2ej5o3w0AAXx2NBcsMA,小学生,35,0.064815
u_qIY88-WQ7cFept0ZtwWjGQ,甜咖啡☕️,30,0.055556
u_8qjk0574fFAfMpLdpI74-w,阿梓喵（已签署有💩共享协议）,29,0.053704
u_MPBPsGm9Wk4uEbC4ipCE5g,黄豆酱相思,26,0.048148
u_gp9BVtIzQ5Ln6k_kOfwDkg,绯雪的老公┌|∵|┘ ┌|∵|┘ ┌|∵|┘,25,0.046296
u_-3idml8QhmKronlndJDSMQ,老公出轨小三竟是前前男友,18,0.033333
u_9Aaao1d8MAq0M7_UCI1BRg,WIR_MIKU1598,17,0.031481
u_SdUtdbtPKBnmnPsjyMF1Ng,五行石,14,0.025926
u_x6_7ZeXuXkoFOvgaBedCPw,夏祭,11,0.02037
u_IO5xR9qmZOagbzzvvt9XTQ,AAA售卖外置登录url login.072420.xyz/theme,11,0.02037
u_TxmmcN4_J6lk6Z2PXATsEg,绿豆冰相思,10,0.018519
u_lo6mYijXeYO4WyWXaUJiCQ,小赛151,10,0.018519
u_6TclROyRHHE0nbcoFDy1lA,若叶奶龙,9,0.016667
u_GXPSQq4zYo5PB1Y6pWnLXQ,[IGN]《鸣潮》共鸣者「心月狐」演示,9,0.016667
u_sizj59QSzCTSajJ-fA2Ldg,⚽️🏀🏈⚾️🎾🏐🏉🎱⚽️🏀🏈⚾️,8,0.014815
u_3UJFLrV3B9-XA7bLaZ7sVA,玲151🍅（已离线）,8,0.014815
u_Kp979IBnETWy_WS8kV8JdQ,白玉楼の达妮娅⁧~喵呜⁦ ⁦⁦,7,0.012963
u_tOZRgiMhayhXehxNODD2sQ,宝宝我和他们不一样，我是男的,7,0.012963
u_uLWwiCk4hD_-HVDzW5p_xg,光るなら,7,0.012963
u_7DRqQFjZT-kGu9uFDGvzXg,下雨天,7,0.012963
u_NYfvQm-dqDWt2EfwVGGUPQ,不正经的晓炎,6,0.011111
u_SyMMFyJ48psgXOmkVz1-4A,Shadow,6,0.011111
u_5PLS-Yp6fvUYMG5IEOxzVQ,A¿🍀,6,0.011111
u_TWl96H8v95dv8XCXodZmng,Sadim,5,0.009259
u_BJuGNDFpyODtF9sSpkt_OQ,想太多,5,0.009259
u_x3a5OWjsTZuGYah0ICMrcg,真的是小白啦,5,0.009259
u_GKrCUbkyCQ5EUbm4Gj3TaQ,☁️好想玩原神☁️,4,0.007407
u_wDFEYSStBGmQrP94d_2msA,γ3n,4,0.007407
u_yKJUsbg-sF47zCirioDWyw,你已与群主结成情侣关系，情侣标识已点燃,4,0.007407
u_FFXQes9CVQqft1JI0DMeVw,神奇小维,3,0.005556
u_HE2eXogx5YMVqHH2UfUgbA,Mere Flower,3,0.005556
u_kpOQSEJtIXKt7T-iv2Pu-w,不可以,3,0.005556
u_crTBjvVK-9ZdbNRQf6Wb0Q,如烟大帝,3,0.005556
u_v5t2kXEX0iLfEQWzhcFjcQ,ABCwewe,3,0.005556
u_5O2fDdCgB0XvCYxogZoDSw,去世已久,3,0.005556
u_s7UTJC0ZbAGuaowJFH4_eQ,红豆浆想食,3,0.005556
u_wr8VKEGnuW9SqU_2_JzQBQ,你已被移出群聊,3,0.005556
u_vJ1qkAJfGlijq7wKoOLqfA,星乙烯醇🍥,2,0.003704
u_tLdBlOmGS-vxygAMRTmIMQ,手艺,2,0.003704
u_KhlVTzi_Mu6MLDDpl73VrA,イレイナ,2,0.003704
u_-T7ez7J9joF0-h175btNMQ,林瞳阳,2,0.003704
u_nc_KkgRxccRCzEJUJjO1Ug,白毛魅魔的,2,0.003704
u_VpgRWKnFYCXnzyHIEnP1aQ,天冬,2,0.003704
u_Vm0ePT9iPEDwyinjcy-4Uw,半生か沉浮,2,0.003704
u_UiGSv_qRpk8fHLnafRuLKg,「潮声茶馆掌柜」霞月 欢迎客官来茶馆一叙,2,0.003704
u_5qwk2SmKzk94Hn1pKK67Pg,听风昕雨,2,0.003704
u_lS_H5KFqY7N16WIo7dawsg,克拉拉,2,0.003704
u_HexW_pJVoAKxPNgFLRioAw,轮回の殘月,2,0.003704
u_6nVjRDSnnoqPAeNEXoad4A,萧亦念,2,0.003704
u_-CkZ1ekSFjzxPrSw_XdJCw,落,2,0.003704
u_oeZubCEpLcmwfIRjVAUjkw,皮皮绿绿official,2,0.003704
u_QM7ioaLaA9tWxPfe0Ow9lg,每天来抱抱小维,2,0.003704
u_EpHG8cB_tlhkSWBjRJx50w,☆,2,0.003704
u_VZSzZQscBDJL1wl9-FUMrQ,雪之下雪乃,2,0.003704
u_gYjQAjkn4gPX2gjwXtINtg,给小维抱走,2,0.003704
u_50DLLpOGOGjgLTo4_cBxYw,ღ星晴,1,0.001852
u_ZYeIY0dSEOl1fjaL42eHzA,Coloryr,1,0.001852
u_ALZIeCDguDlYEGuxW-PxbA,某位不知名啸,1,0.001852
u_8XtZs_d4BRlCSOq3kZG0pw,出售便宜不掺水ai中转api,1,0.001852
u_EtNeWnxAdtiv4UqPP_wRSQ,云晓晨,1,0.001852
u_AAN3z_54fRhQLKhslHRbIA,dawn,1,0.001852
u_dSJOaI8AfrQYzz3EU6KysQ,karl,1,0.001852
u_5fO5g5S4y1UYpJnn0W96_g,温酒,1,0.001852
u_5ud5OTzH4BAfhzjF_3wcSg,Haru,1,0.001852
u_kNNRCYX5Id9Rt5TXgG8uhQ,绫波レイ,1,0.001852
u_e9XA3PdnUdkW-5ioxfu82w,雪色波纹,1,0.001852
u_X5Ufjh74b3T97sGm_jnHZg,¿,1,0.001852
u_ZQsMZ2nOlidxGP8Ug9D0FA,我真是超级萝莉控,1,0.001852
u_Cr41Gs3Pw_KvjGGhun9NaA,[IGN]《鸣潮》共鸣者「心月狐」演示,1,0.001852
u_g9kdRSm1fELQbvZmjGSo-Q,感谢富哥让我可以玩鸣潮,1,0.001852
u_Qjh7m_xT3_znrskPMogNGg,旧詩集,1,0.001852
u_dEZ1pKT_heLjD8SFBtVKLw,零下泠度z,1,0.001852
u_dnsyDWAqAEZiTKzVzrCYTg,星辰宿念,1,0.001852
u_3COWGstyCaEWJ4d9qSSTbQ,小维菲莉丝,1,0.001852
u_kEQS7U_iWIe8cbATwFZBBg,DDjian,1,0.001852
u_tLkudw65BGnuva2o8-Eulg,Kitorin,1,0.001852
u_gCToc-vBFwPD3VX0VWwd1w,浙江的网友,1,0.001852
u_wPmiKPDvajZb9DNhd0_qOQ,蜗牛,1,0.001852
u_63XZS7sZhlBMR4Oc3XEifg,冰清玉洁长歌儿,1,0.001852
u_VKCzLOOPnTF1iPoNhVRPGg,不思烤（已非㊗️）,1,0.001852
u_cFXhxryCPboRDadf3mdWrw,HT-9420,1,0.001852
