turn_id,session_id,start_timestamp,end_timestamp,local_date,local_hour,trigger,latency_seconds,message_count,text_chars,has_text,has_media,uses_reply,uses_mention,inbound_direct,bot_targeted_reply,utility_like,any_followup_2m,explicit_followup_2m,followup_seconds
1,1,1784774376,1784774376,2026-07-23,10,主动开场,,2,24,True,True,False,False,False,False,True,True,False,48
2,1,1784774719,1784774721,2026-07-23,10,环境话题加入,0,2,0,False,True,False,False,False,False,False,True,False,0
3,1,1784774876,1784774876,2026-07-23,10,连续对话,2,1,27,True,False,False,False,False,False,True,True,False,2
4,1,1784774878,1784774878,2026-07-23,10,连续对话,0,1,17,True,False,False,False,False,False,True,True,False,9
5,1,1784774888,1784774888,2026-07-23,10,连续对话,1,1,0,False,True,False,False,False,False,False,True,True,4
6,1,1784774967,1784774969,2026-07-23,10,被点名/被回复,2,2,125,True,False,True,False,True,True,False,True,True,4
7,1,1784775011,1784775011,2026-07-23,10,被点名/被回复,9,1,22,True,True,False,False,True,False,False,True,False,7
8,1,1784775108,1784775110,2026-07-23,10,连续对话,0,2,0,False,True,False,False,False,False,False,True,False,2
9,1,1784775217,1784775217,2026-07-23,10,连续对话,0,1,53,True,False,False,False,False,False,False,True,False,3
10,1,1784775665,1784775665,2026-07-23,11,自主定向回复,1,1,19,True,False,True,False,False,True,False,True,False,1
11,1,1784775674,1784775674,2026-07-23,11,连续对话,0,1,0,False,True,False,False,False,False,False,True,False,7
12,1,1784775891,1784775892,2026-07-23,11,被点名/被回复,5,2,66,True,False,True,False,True,True,False,True,True,13
13,1,1784775918,1784775919,2026-07-23,11,被点名/被回复,1,3,36,True,True,True,False,True,True,False,True,False,1
14,1,1784776313,1784776313,2026-07-23,11,环境话题加入,2,1,7,True,False,False,False,False,False,False,True,False,1
15,1,1784776414,1784776414,2026-07-23,11,连续对话,5,1,0,False,True,False,False,False,False,False,True,False,1
16,1,1784776416,1784776416,2026-07-23,11,连续对话,1,1,0,False,True,False,False,False,False,False,True,False,1
17,1,1784776441,1784776444,2026-07-23,11,连续对话,3,2,0,False,True,False,False,False,False,False,True,False,2
18,1,1784776541,1784776541,2026-07-23,11,连续对话,12,1,28,True,True,False,False,False,False,False,True,False,7
19,1,1784776757,1784776757,2026-07-23,11,环境话题加入,0,1,0,False,True,False,False,False,False,False,True,False,3
